,Date,PS,WS10M,WS10M_RANGE,WD10M,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,Visibility,Cloud Cover,Conditions,weather_type
0,2017-01-01,101.27,0.86,1.29,142.25,19.87,72.81,0.0,138.71,2.5,0.4,Clear,Mist
1,2017-01-02,101.27,0.95,1.33,194.31,19.83,75.44,3.69,135.58,1.1,0.7,Clear,Fog
2,2017-01-03,101.24,2.49,2.16,325.44,18.69,83.31,2.25,134.17,4.0,1.0,Clear,Smoke Or Haze
3,2017-01-04,101.15,2.86,1.96,337.94,18.01,79.0,0.0,148.32,4.0,0.9,Clear,Smoke Or Haze
4,2017-01-05,101.13,2.8,2.2,333.69,17.16,72.5,0.0,166.91,4.0,0.7,Clear,Clear
5,2017-01-06,101.09,2.31,1.48,258.5,16.99,66.0,0.0,172.46,4.0,0.7,Clear,Clear
6,2017-01-07,100.93,1.77,2.07,249.94,17.5,60.44,0.0,169.55,3.9,0.0,Clear,Clear
7,2017-01-08,100.91,1.59,1.88,177.5,18.61,62.75,0.0,169.8,4.0,0.7,Clear,Smoke Or Haze
8,2017-01-09,100.92,1.7,2.32,206.0,18.72,69.25,0.0,157.5,4.0,0.7,Clear,Smoke Or Haze
9,2017-01-10,100.93,1.86,2.29,184.25,18.49,75.62,0.01,128.1,4.0,1.4,Clear,Smoke Or Haze
10,2017-01-11,101.05,2.57,0.99,240.56,17.4,81.81,0.0,141.38,4.0,49.5,Partially cloudy,Partially cloudy
11,2017-01-12,101.1,3.18,1.95,159.0,15.95,72.38,0.0,146.2,4.0,1.0,Clear,Clear
12,2017-01-13,101.23,2.9,1.95,252.25,14.31,68.0,0.0,150.6,4.0,0.7,Clear,Clear
13,2017-01-14,101.35,3.17,1.55,290.44,13.15,68.12,0.0,162.84,4.0,0.0,Clear,Clear
14,2017-01-15,101.39,2.92,1.82,337.88,12.82,67.44,0.0,169.2,4.0,0.0,Clear,Clear
15,2017-01-16,101.25,2.48,3.48,289.25,14.57,62.69,0.0,175.98,4.0,0.4,Clear,Clear
16,2017-01-17,101.26,1.95,2.71,272.12,17.09,63.62,0.0,170.55,4.0,0.7,Clear,Clear
17,2017-01-18,101.51,2.88,3.12,310.25,17.74,68.06,0.0,158.76,4.0,0.7,Clear,Clear
18,2017-01-19,101.5,3.57,2.98,295.44,16.68,71.12,0.0,184.61,4.0,0.7,Clear,Clear
19,2017-01-20,101.49,3.07,2.84,331.06,17.39,70.0,0.0,187.24,4.0,0.7,Clear,Clear
20,2017-01-21,101.53,3.29,1.88,340.56,16.53,67.5,0.0,189.16,4.0,0.4,Clear,Clear
21,2017-01-22,101.56,3.09,3.01,330.94,16.5,59.81,0.0,190.3,3.9,0.7,Clear,Clear
22,2017-01-23,101.46,2.96,2.35,327.0,17.38,68.31,0.0,179.21,4.0,0.0,Clear,Clear
23,2017-01-24,101.47,2.86,2.38,302.44,18.3,67.56,0.0,169.77,4.0,28.5,Partially cloudy,Partially cloudy
24,2017-01-25,101.53,2.59,2.77,271.5,18.17,67.88,0.0,181.8,4.0,0.7,Clear,Clear
25,2017-01-26,101.41,2.09,2.7,293.88,18.73,65.56,0.0,187.27,4.0,48.6,Partially cloudy,Partially cloudy
26,2017-01-27,101.24,1.86,3.45,253.62,19.68,68.81,0.07,104.93,4.0,99.6,Overcast,Overcast
27,2017-01-28,101.19,3.94,4.23,265.44,18.58,76.88,0.0,170.16,4.0,0.0,Clear,Clear
28,2017-01-29,101.35,2.45,3.88,320.19,17.76,66.5,0.0,188.57,4.0,0.7,Clear,Clear
29,2017-01-30,101.21,1.93,2.34,273.19,18.46,67.44,0.0,193.26,4.0,0.7,Clear,Clear
30,2017-01-31,101.12,1.85,2.05,230.62,18.87,73.06,0.0,170.28,4.0,0.7,Clear,Clear
31,2017-02-01,101.27,1.56,2.38,251.19,19.44,65.81,0.0,154.24,3.6,60.4,Partially cloudy,Smoke Or Haze
32,2017-02-02,101.46,2.31,3.16,245.69,18.52,65.56,0.0,148.55,4.0,91.8,Overcast,Smoke Or Haze
33,2017-02-03,101.38,2.38,2.12,268.5,17.81,65.69,0.0,174.33,4.0,59.4,Partially cloudy,Partially cloudy
34,2017-02-04,101.22,2.27,3.2,302.38,18.03,63.38,0.0,183.91,4.0,16.0,Clear,Clear
35,2017-02-05,101.08,1.98,3.33,281.25,19.4,63.31,0.0,201.27,4.0,0.0,Clear,Clear
36,2017-02-06,100.92,1.9,2.92,263.31,20.59,63.06,0.0,213.7,4.0,6.2,Clear,Clear
37,2017-02-07,100.95,2.75,1.93,244.75,20.48,65.75,0.0,197.42,4.0,0.0,Clear,Clear
38,2017-02-08,101.1,2.42,3.69,303.88,20.06,57.38,0.0,212.37,4.0,0.0,Clear,Clear
39,2017-02-09,101.02,2.16,2.7,286.75,19.62,55.56,0.0,216.68,4.0,9.6,Clear,Clear
40,2017-02-10,100.98,1.77,2.67,250.81,20.6,62.94,0.0,187.72,4.0,0.0,Clear,Clear
41,2017-02-11,101.22,1.75,2.14,204.62,20.64,61.31,0.0,175.43,4.0,20.6,Clear,Clear
42,2017-02-12,101.41,1.48,2.0,175.06,21.59,58.56,0.0,170.58,4.0,0.7,Clear,Clear
43,2017-02-13,101.53,1.5,2.73,247.62,22.11,63.5,0.0,165.74,4.0,0.9,Clear,Clear
44,2017-02-14,101.62,1.42,2.77,234.31,22.63,64.88,0.0,172.28,4.0,1.7,Clear,Smoke Or Haze
45,2017-02-15,101.57,1.7,2.52,296.44,22.77,58.88,0.0,169.46,4.0,1.3,Clear,Clear
46,2017-02-16,101.38,1.77,2.73,260.56,21.24,58.88,0.0,192.5,4.0,0.5,Clear,Clear
47,2017-02-17,101.27,1.78,1.87,216.81,21.79,69.62,0.0,186.51,4.0,3.3,Clear,Clear
48,2017-02-18,101.27,1.73,1.76,215.25,22.59,74.44,0.0,158.0,4.0,3.0,Clear,Smoke Or Haze
49,2017-02-19,101.02,2.31,1.36,201.5,22.98,79.0,0.0,155.45,4.0,1.7,Clear,Smoke Or Haze
50,2017-02-20,100.59,2.62,3.12,221.69,23.65,74.19,0.0,166.81,3.9,2.4,Clear,"Fog, Smoke Or Haze"
51,2017-02-21,100.51,4.44,3.84,183.06,24.47,73.88,0.0,204.41,4.0,1.1,Clear,Smoke Or Haze
52,2017-02-22,100.63,3.59,3.75,190.56,24.87,77.31,0.0,211.3,4.0,2.4,Clear,Clear
53,2017-02-23,100.85,2.38,2.92,212.69,24.77,60.5,0.01,192.09,4.0,2.4,Clear,Clear
54,2017-02-24,101.08,1.83,2.55,258.5,22.74,51.25,0.0,230.2,4.0,0.0,Clear,Clear
55,2017-02-25,101.07,2.3,2.46,258.62,20.81,45.69,0.0,251.91,4.0,0.0,Clear,Clear
56,2017-02-26,100.85,2.17,3.15,254.31,21.96,56.69,0.0,246.52,4.0,0.4,Clear,Clear
57,2017-02-27,101.03,2.13,2.52,226.5,22.15,63.56,0.0,242.99,4.0,0.7,Clear,Clear
58,2017-02-28,101.06,1.85,2.38,238.0,22.98,59.0,0.0,236.88,4.0,0.7,Clear,Clear
59,2017-03-01,100.96,2.26,2.77,269.94,23.02,57.0,0.0,245.45,4.0,1.8,Clear,Clear
60,2017-03-02,100.77,2.8,4.23,228.12,24.33,65.06,0.0,240.7,4.0,0.9,Clear,Clear
61,2017-03-03,100.49,2.99,4.12,217.44,25.09,56.19,0.0,239.18,4.0,0.0,Clear,Clear
62,2017-03-04,100.48,2.93,2.84,190.75,24.78,62.94,0.0,219.2,4.0,1.5,Clear,Clear
63,2017-03-05,100.41,2.85,4.24,204.31,26.15,73.06,1.88,181.59,4.0,41.4,Partially cloudy,Partially cloudy
64,2017-03-06,100.55,2.44,4.12,165.06,25.44,52.31,1.02,195.35,4.0,1.2,Clear,Clear
65,2017-03-07,100.63,2.01,2.36,210.44,24.24,43.56,0.03,209.4,4.0,1.5,Clear,Clear
66,2017-03-08,100.56,1.71,2.2,194.44,23.33,80.94,4.97,52.04,3.9,99.5,Overcast,Overcast
67,2017-03-09,100.39,2.73,3.39,171.69,25.17,74.5,2.49,147.96,4.0,3.9,Clear,Smoke Or Haze
68,2017-03-10,100.28,3.44,4.98,174.19,26.76,72.62,8.7,150.47,4.0,96.9,Overcast,Smoke Or Haze
69,2017-03-11,100.34,4.03,4.06,195.06,26.51,75.69,21.85,183.2,4.0,45.8,Partially cloudy,Partially cloudy
70,2017-03-12,100.67,2.53,1.41,132.12,24.25,64.69,0.83,213.48,4.0,4.8,Clear,Clear
71,2017-03-13,101.02,2.09,3.07,229.56,21.9,46.06,0.0,245.76,4.0,3.3,Clear,Clear
72,2017-03-14,101.09,1.66,2.87,200.12,22.66,44.69,0.0,257.52,4.0,0.7,Clear,Clear
73,2017-03-15,101.01,2.08,3.07,267.56,22.73,46.38,0.0,256.12,4.0,9.5,Clear,Clear
74,2017-03-16,100.81,1.71,2.43,250.81,23.04,50.5,0.0,252.76,4.0,0.7,Clear,Clear
75,2017-03-17,100.62,2.78,3.45,218.0,24.04,62.31,0.0,258.81,4.0,18.0,Clear,Clear
76,2017-03-18,100.58,2.99,4.06,218.62,25.94,56.56,0.06,225.61,4.0,33.0,Partially cloudy,Partially cloudy
77,2017-03-19,100.78,2.02,2.55,164.06,26.16,65.44,4.65,203.25,3.4,30.0,Partially cloudy,Partially cloudy
78,2017-03-20,100.87,2.86,4.26,133.44,23.19,61.38,8.81,211.6,3.4,38.4,Partially cloudy,Partially cloudy
79,2017-03-21,101.0,1.59,1.88,211.44,24.58,56.62,0.0,248.7,4.0,23.8,Clear,Clear
80,2017-03-22,100.82,2.34,2.88,213.62,24.66,67.06,0.0,260.23,4.0,18.0,Clear,Clear
81,2017-03-23,100.64,2.5,3.23,211.44,26.37,67.31,0.0,263.12,4.0,18.0,Clear,Clear
82,2017-03-24,100.6,2.18,2.54,220.31,27.85,63.62,0.0,256.51,4.0,20.6,Clear,Clear
83,2017-03-25,100.62,3.18,4.04,185.81,28.21,68.06,0.0,242.42,4.0,18.0,Clear,Clear
84,2017-03-26,100.69,3.08,3.59,180.69,28.61,69.69,0.03,209.48,4.0,50.8,Partially cloudy,Partially cloudy
85,2017-03-27,100.67,3.25,4.98,194.56,28.76,65.19,0.0,260.99,4.0,20.8,Clear,Clear
86,2017-03-28,100.52,3.8,4.29,190.25,29.83,65.31,0.0,257.14,4.0,32.0,Partially cloudy,Partially cloudy
87,2017-03-29,100.41,3.0,4.23,206.19,29.87,65.12,0.0,250.07,4.0,33.0,Partially cloudy,Partially cloudy
88,2017-03-30,100.4,5.13,3.39,179.38,30.19,67.44,0.0,273.56,4.0,32.0,Partially cloudy,Partially cloudy
89,2017-03-31,100.55,3.45,4.91,183.75,30.07,66.94,0.0,267.29,4.0,28.5,Partially cloudy,Partially cloudy
90,2017-04-01,100.39,4.71,3.89,179.62,30.03,69.31,0.0,250.94,4.0,61.8,Partially cloudy,Partially cloudy
91,2017-04-02,100.2,5.34,4.55,180.31,30.52,67.5,0.03,229.2,4.0,66.5,Partially cloudy,Partially cloudy
92,2017-04-03,100.25,5.3,2.83,189.31,31.42,62.25,0.29,238.02,4.0,58.0,Partially cloudy,Partially cloudy
93,2017-04-04,100.36,5.37,3.52,180.75,30.83,63.56,0.15,244.94,4.0,41.2,Partially cloudy,Partially cloudy
94,2017-04-05,100.34,4.14,4.15,171.94,30.42,67.88,0.71,212.24,4.0,80.0,Overcast,Overcast
95,2017-04-06,100.38,4.64,3.43,156.19,30.15,70.44,1.15,184.8,3.5,70.5,Partially cloudy,Partially cloudy
96,2017-04-07,100.38,4.33,3.11,167.31,30.93,68.0,0.62,195.33,4.0,37.1,Partially cloudy,Partially cloudy
