,Unnamed: 0,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
0,20120101,101.14,1.8,2.78,0.65,2.13,124.5,3.07,5.93,0.63,5.3,123.25,20.59,15.95,18.27,20.41,-262.52,26.73,16.11,11.29,76.0,1.31,150.58,176.69,0.53,380.0,70.57,81.57,9.51,0.21,1.07
1,20120102,101.06,2.08,4.14,0.59,3.55,112.56,3.05,6.88,0.38,6.51,111.12,20.26,16.08,18.17,20.3,-262.8,26.33,15.97,11.35,78.38,1.42,96.89,171.78,0.34,390.42,46.88,78.17,6.64,0.14,0.73
2,20120103,101.11,2.16,2.59,1.75,0.84,153.69,3.32,4.46,1.94,2.52,153.19,19.44,16.15,17.8,19.65,-264.57,24.37,15.79,11.35,82.5,0.46,123.61,161.46,0.44,385.35,57.06,71.63,7.42,0.16,0.8
3,20120104,101.17,1.48,2.61,0.34,2.27,71.06,2.4,5.37,0.44,4.93,70.75,18.94,15.47,17.2,18.6,-264.5,23.6,14.96,10.86,81.06,0.23,81.25,138.21,0.29,385.75,38.05,59.4,4.73,0.1,0.53
4,20120105,101.21,1.5,2.38,0.76,1.62,127.88,2.25,4.55,1.01,3.54,129.31,20.01,17.02,18.51,19.58,-263.33,25.3,15.48,12.02,83.88,0.27,98.29,123.83,0.34,379.76,41.85,50.53,4.5,0.09,0.51
5,20120106,101.27,1.66,2.48,0.38,2.1,120.12,2.65,4.32,0.55,3.77,135.31,20.37,17.98,19.17,20.36,-263.42,25.73,15.98,12.76,86.69,6.87,85.48,121.39,0.3,388.27,37.38,50.25,4.13,0.09,0.47
6,20120107,101.44,1.87,2.98,1.38,1.59,66.25,2.67,4.11,1.53,2.58,66.69,20.11,17.51,18.81,19.79,-264.07,24.86,15.78,12.39,85.81,14.38,47.61,141.29,0.16,392.66,23.48,61.6,3.23,0.07,0.38
7,20120108,101.41,1.56,2.62,0.42,2.2,102.62,2.55,5.12,0.5,4.61,104.12,20.26,16.98,18.62,20.1,-263.4,25.15,15.4,11.96,82.19,23.44,61.59,164.38,0.22,394.63,31.24,74.35,4.61,0.11,0.55
8,20120109,101.24,2.03,3.78,0.46,3.32,119.69,2.97,4.7,0.64,4.06,119.81,20.07,17.79,18.93,19.79,-263.68,24.97,15.5,12.63,87.44,3.91,77.07,163.61,0.27,388.44,38.81,73.71,5.59,0.13,0.71
9,20120110,101.33,3.03,4.15,1.95,2.2,278.12,4.73,6.33,3.06,3.27,278.5,18.19,15.67,16.93,18.37,-263.63,23.18,13.66,11.05,86.19,6.2,62.68,154.27,0.22,388.67,30.91,67.99,4.31,0.09,0.48
10,20120111,101.42,3.63,4.4,2.77,1.62,299.44,5.78,7.09,4.18,2.91,299.69,16.81,12.69,14.75,16.69,-262.56,23.12,12.53,9.03,78.12,0.09,131.27,143.46,0.45,354.5,56.36,61.45,6.48,0.13,0.68
11,20120112,101.4,3.24,4.44,2.14,2.3,292.69,5.18,7.73,3.3,4.43,292.5,13.99,8.44,11.22,13.82,-260.52,21.05,8.41,6.84,71.88,0.0,173.76,178.02,0.6,325.1,75.64,77.93,9.37,0.2,1.03
12,20120113,101.42,3.34,4.4,2.45,1.95,322.38,5.39,7.26,3.01,4.24,322.5,12.62,7.69,10.15,12.32,-259.73,19.8,6.38,6.47,74.38,0.0,160.58,168.53,0.55,310.89,67.13,70.51,7.94,0.17,0.88
13,20120114,101.3,2.51,3.6,0.79,2.81,315.38,3.95,6.78,1.09,5.69,315.5,13.01,5.82,9.41,11.85,-258.22,20.26,5.33,5.74,65.0,0.0,158.48,163.07,0.54,304.84,64.52,66.74,7.3,0.15,0.76
14,20120115,101.08,2.19,3.13,0.32,2.81,271.12,3.32,6.12,0.44,5.69,271.38,14.04,6.76,10.4,12.55,-257.77,21.33,5.95,6.1,64.25,0.0,171.42,177.18,0.59,312.12,73.58,76.24,9.01,0.2,0.98
15,20120116,100.86,1.82,2.59,1.16,1.43,242.75,2.59,4.28,1.52,2.76,241.94,16.38,9.64,13.01,14.93,-258.35,23.65,8.86,7.51,65.94,0.0,162.78,165.67,0.55,327.57,69.46,71.16,8.08,0.16,0.84
16,20120117,100.67,2.1,3.5,0.62,2.88,200.0,3.18,7.08,0.92,6.16,199.88,17.88,12.66,15.27,16.57,-260.23,25.49,12.57,9.16,73.69,0.0,189.43,191.29,0.64,332.3,83.72,85.04,10.59,0.23,1.18
17,20120118,100.66,2.09,3.29,0.51,2.78,234.19,3.34,6.1,0.62,5.48,233.56,18.12,12.44,15.28,17.18,-257.47,26.12,10.44,9.03,72.62,0.0,165.35,173.04,0.55,352.27,71.8,75.16,9.1,0.2,1.01
18,20120119,100.78,2.02,3.04,0.82,2.22,155.38,3.16,6.38,1.15,5.23,156.38,19.4,16.35,17.88,18.52,-262.23,25.62,14.69,11.66,83.88,1.62,132.66,164.37,0.45,379.9,60.0,71.61,7.8,0.19,0.97
19,20120120,100.84,1.98,2.89,1.3,1.6,187.44,2.85,5.28,1.98,3.3,186.81,20.1,17.34,18.73,19.53,-263.42,25.63,15.9,12.33,83.19,3.38,141.16,167.41,0.47,381.53,64.16,73.77,8.19,0.2,1.07
20,20120121,101.06,3.31,4.52,2.18,2.34,276.88,4.99,6.93,3.66,3.27,276.69,16.8,12.03,14.41,16.43,-261.98,23.23,12.06,8.73,75.81,0.06,144.55,150.38,0.48,338.2,58.92,61.18,6.41,0.16,0.83
21,20120122,101.3,2.65,3.44,1.73,1.7,220.69,4.26,7.12,1.85,5.27,220.69,14.27,8.1,11.19,13.88,-259.0,21.55,7.4,6.65,69.25,0.0,179.03,185.74,0.59,310.88,76.44,79.35,9.37,0.24,1.29
22,20120123,101.24,2.03,3.07,0.91,2.16,227.75,3.03,5.43,1.07,4.36,227.25,14.94,7.58,11.26,13.89,-257.74,22.38,6.97,6.47,63.75,0.0,182.09,188.62,0.6,319.59,78.79,81.73,9.7,0.24,1.27
23,20120124,101.14,2.1,2.73,1.05,1.68,236.0,3.16,4.79,1.2,3.59,234.62,15.76,9.65,12.71,15.13,-259.11,22.83,8.8,7.45,69.0,0.0,173.54,179.95,0.57,338.6,76.13,79.09,9.27,0.23,1.2
24,20120125,101.13,1.28,1.81,0.66,1.16,204.62,1.74,2.73,0.55,2.18,204.5,17.61,11.16,14.38,16.06,-260.55,23.68,11.07,8.3,66.81,0.0,163.52,168.82,0.53,344.43,70.76,73.32,8.3,0.2,1.05
25,20120126,101.1,1.68,2.45,0.46,1.98,233.88,2.3,3.38,0.59,2.78,233.12,18.42,13.19,15.8,17.23,-259.89,24.74,11.48,9.4,73.31,0.0,141.76,160.0,0.46,359.2,61.88,68.78,7.16,0.18,0.96
26,20120127,101.12,2.79,3.45,2.09,1.37,281.75,4.4,7.04,3.19,3.85,266.88,17.4,12.69,15.05,16.8,-262.45,23.19,12.5,9.09,74.81,0.0,158.48,163.15,0.52,353.89,68.52,70.86,7.88,0.2,1.02
