,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20120101,101.14,1.8,2.78,0.65,2.13,124.5,3.07,5.93,0.63,5.3,123.25
20120102,101.06,2.08,4.14,0.59,3.55,112.56,3.05,6.88,0.38,6.51,111.12
20120103,101.11,2.16,2.59,1.75,0.84,153.69,3.32,4.46,1.94,2.52,153.19
20120104,101.17,1.48,2.61,0.34,2.27,71.06,2.4,5.37,0.44,4.93,70.75
20120105,101.21,1.5,2.38,0.76,1.62,127.88,2.25,4.55,1.01,3.54,129.31
20120106,101.27,1.66,2.48,0.38,2.1,120.12,2.65,4.32,0.55,3.77,135.31
20120107,101.44,1.87,2.98,1.38,1.59,66.25,2.67,4.11,1.53,2.58,66.69
20120108,101.41,1.56,2.62,0.42,2.2,102.62,2.55,5.12,0.5,4.61,104.12
20120109,101.24,2.03,3.78,0.46,3.32,119.69,2.97,4.7,0.64,4.06,119.81
20120110,101.33,3.03,4.15,1.95,2.2,278.12,4.73,6.33,3.06,3.27,278.5
20120111,101.42,3.63,4.4,2.77,1.62,299.44,5.78,7.09,4.18,2.91,299.69
20120112,101.4,3.24,4.44,2.14,2.3,292.69,5.18,7.73,3.3,4.43,292.5
20120113,101.42,3.34,4.4,2.45,1.95,322.38,5.39,7.26,3.01,4.24,322.5
20120114,101.3,2.51,3.6,0.79,2.81,315.38,3.95,6.78,1.09,5.69,315.5
20120115,101.08,2.19,3.13,0.32,2.81,271.12,3.32,6.12,0.44,5.69,271.38
20120116,100.86,1.82,2.59,1.16,1.43,242.75,2.59,4.28,1.52,2.76,241.94
20120117,100.67,2.1,3.5,0.62,2.88,200.0,3.18,7.08,0.92,6.16,199.88
20120118,100.66,2.09,3.29,0.51,2.78,234.19,3.34,6.1,0.62,5.48,233.56
20120119,100.78,2.02,3.04,0.82,2.22,155.38,3.16,6.38,1.15,5.23,156.38
20120120,100.84,1.98,2.89,1.3,1.6,187.44,2.85,5.28,1.98,3.3,186.81
20120121,101.06,3.31,4.52,2.18,2.34,276.88,4.99,6.93,3.66,3.27,276.69
20120122,101.3,2.65,3.44,1.73,1.7,220.69,4.26,7.12,1.85,5.27,220.69
20120123,101.24,2.03,3.07,0.91,2.16,227.75,3.03,5.43,1.07,4.36,227.25
20120124,101.14,2.1,2.73,1.05,1.68,236.0,3.16,4.79,1.2,3.59,234.62
20120125,101.13,1.28,1.81,0.66,1.16,204.62,1.74,2.73,0.55,2.18,204.5
20120126,101.1,1.68,2.45,0.46,1.98,233.88,2.3,3.38,0.59,2.78,233.12
20120127,101.12,2.79,3.45,2.09,1.37,281.75,4.4,7.04,3.19,3.85,266.88
20120128,101.16,1.94,2.66,1.27,1.38,69.44,2.79,4.47,1.56,2.91,68.94
20120129,101.19,2.88,4.3,1.21,3.09,187.31,4.45,8.17,1.75,6.42,187.19
20120130,101.32,3.31,4.51,2.51,2.0,320.81,5.35,6.4,3.62,2.77,321.0
20120131,101.38,3.59,4.77,2.84,1.94,336.0,5.95,7.47,3.57,3.9,336.0
20120201,101.37,3.29,4.52,2.57,1.95,345.88,5.26,6.76,3.61,3.15,345.94
20120202,101.45,2.93,3.93,2.09,1.84,273.81,4.54,6.49,2.77,3.73,273.75
20120203,101.37,3.04,3.91,1.99,1.91,323.88,4.63,6.87,2.93,3.94,323.88
20120204,101.22,2.4,3.83,0.15,3.68,281.75,3.56,5.89,0.19,5.71,281.69
20120205,101.16,1.85,3.34,0.45,2.9,281.5,2.69,5.45,0.62,4.84,280.75
20120206,101.02,2.68,3.78,1.74,2.04,269.31,4.08,6.09,1.98,4.1,268.88
20120207,100.99,2.21,3.49,0.68,2.82,279.44,3.36,6.18,0.98,5.2,279.31
20120208,100.75,2.91,4.47,0.88,3.59,207.06,4.98,8.57,1.19,7.39,207.06
20120209,100.86,4.28,6.45,2.35,4.1,267.19,6.72,9.01,4.15,4.87,267.19
20120210,101.11,3.3,4.58,2.24,2.34,246.12,5.0,8.32,2.94,5.39,246.12
20120211,101.14,2.56,3.77,1.66,2.11,242.94,4.03,7.27,2.16,5.12,242.44
20120212,101.19,2.32,3.12,1.07,2.05,244.5,3.46,5.7,1.25,4.45,243.38
20120213,101.2,1.2,2.36,0.18,2.19,143.19,1.71,3.66,0.23,3.44,141.56
20120214,101.06,1.38,2.03,0.0,2.02,208.06,1.96,3.35,0.18,3.16,203.69
20120215,100.84,1.6,2.08,0.52,1.55,192.38,2.35,3.45,0.68,2.77,191.75
20120216,100.83,1.48,2.39,0.1,2.28,201.19,2.33,4.34,0.18,4.16,204.75
20120217,100.96,2.36,4.09,0.5,3.59,156.38,3.52,5.8,0.79,5.01,155.62
20120218,101.07,3.17,4.77,1.82,2.95,236.31,4.72,6.42,2.88,3.54,236.19
20120219,100.99,2.35,3.38,1.05,2.34,245.25,3.53,6.34,1.5,4.84,244.62
20120220,100.87,2.39,3.5,1.02,2.48,253.56,3.41,5.08,1.42,3.66,253.38
20120221,100.73,2.67,3.74,0.73,3.02,265.38,3.95,5.22,0.99,4.23,265.0
20120222,100.68,2.03,2.98,0.68,2.3,324.81,3.05,5.32,0.79,4.53,325.69
20120223,100.63,3.3,4.59,2.16,2.42,325.19,5.04,6.85,2.97,3.88,325.25
20120224,100.62,3.34,5.38,2.11,3.27,300.69,5.19,7.0,2.46,4.55,300.56
20120225,100.59,2.3,3.58,0.7,2.88,264.0,3.44,6.22,0.95,5.27,264.0
20120226,100.52,2.4,4.11,0.27,3.84,274.5,3.8,7.49,0.38,7.11,274.69
20120227,100.55,2.38,3.8,0.4,3.41,249.88,3.66,6.43,0.52,5.92,249.12
20120228,100.29,2.24,3.54,0.48,3.05,245.75,3.39,7.3,0.66,6.66,244.38
