,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
20120101,150.58,176.69,0.53,380.0,70.57,81.57,9.51,0.21,1.07
20120102,96.89,171.78,0.34,390.42,46.88,78.17,6.64,0.14,0.73
20120103,123.61,161.46,0.44,385.35,57.06,71.63,7.42,0.16,0.8
20120104,81.25,138.21,0.29,385.75,38.05,59.4,4.73,0.1,0.53
20120105,98.29,123.83,0.34,379.76,41.85,50.53,4.5,0.09,0.51
20120106,85.48,121.39,0.3,388.27,37.38,50.25,4.13,0.09,0.47
20120107,47.61,141.29,0.16,392.66,23.48,61.6,3.23,0.07,0.38
20120108,61.59,164.38,0.22,394.63,31.24,74.35,4.61,0.11,0.55
20120109,77.07,163.61,0.27,388.44,38.81,73.71,5.59,0.13,0.71
20120110,62.68,154.27,0.22,388.67,30.91,67.99,4.31,0.09,0.48
20120111,131.27,143.46,0.45,354.5,56.36,61.45,6.48,0.13,0.68
20120112,173.76,178.02,0.6,325.1,75.64,77.93,9.37,0.2,1.03
20120113,160.58,168.53,0.55,310.89,67.13,70.51,7.94,0.17,0.88
20120114,158.48,163.07,0.54,304.84,64.52,66.74,7.3,0.15,0.76
20120115,171.42,177.18,0.59,312.12,73.58,76.24,9.01,0.2,0.98
20120116,162.78,165.67,0.55,327.57,69.46,71.16,8.08,0.16,0.84
20120117,189.43,191.29,0.64,332.3,83.72,85.04,10.59,0.23,1.18
20120118,165.35,173.04,0.55,352.27,71.8,75.16,9.1,0.2,1.01
20120119,132.66,164.37,0.45,379.9,60.0,71.61,7.8,0.19,0.97
20120120,141.16,167.41,0.47,381.53,64.16,73.77,8.19,0.2,1.07
20120121,144.55,150.38,0.48,338.2,58.92,61.18,6.41,0.16,0.83
20120122,179.03,185.74,0.59,310.88,76.44,79.35,9.37,0.24,1.29
20120123,182.09,188.62,0.6,319.59,78.79,81.73,9.7,0.24,1.27
20120124,173.54,179.95,0.57,338.6,76.13,79.09,9.27,0.23,1.2
20120125,163.52,168.82,0.53,344.43,70.76,73.32,8.3,0.2,1.05
20120126,141.76,160.0,0.46,359.2,61.88,68.78,7.16,0.18,0.96
20120127,158.48,163.15,0.52,353.89,68.52,70.86,7.88,0.2,1.02
20120128,169.59,174.88,0.55,347.64,73.6,76.16,8.72,0.21,1.11
20120129,78.84,170.88,0.25,372.02,37.97,74.88,4.98,0.12,0.66
20120130,178.56,184.59,0.57,345.77,78.81,81.6,9.69,0.24,1.26
20120131,186.96,193.43,0.59,332.27,82.28,85.16,10.31,0.26,1.37
20120201,178.38,188.74,0.56,340.4,78.16,82.38,9.58,0.24,1.3
20120202,185.33,192.62,0.58,321.09,78.62,81.68,9.46,0.24,1.28
20120203,199.1,205.88,0.62,315.89,85.8,88.76,10.72,0.27,1.41
20120204,198.9,204.18,0.62,324.59,87.27,89.77,10.95,0.25,1.3
20120205,202.46,207.23,0.62,335.2,89.59,91.92,11.45,0.27,1.34
20120206,203.45,211.07,0.62,350.69,89.85,93.12,11.45,0.27,1.4
20120207,198.38,206.05,0.6,353.01,87.99,91.28,11.2,0.27,1.43
20120208,177.98,197.66,0.54,365.62,78.99,86.55,9.91,0.25,1.32
20120209,176.45,183.47,0.53,357.19,76.17,79.05,8.98,0.21,1.08
20120210,186.73,199.66,0.56,330.77,80.55,85.71,9.84,0.23,1.19
20120211,190.73,200.48,0.57,328.87,82.05,85.88,9.93,0.22,1.12
20120212,202.16,209.07,0.6,324.88,87.41,90.26,10.8,0.24,1.23
20120213,198.62,203.73,0.59,343.07,86.91,89.14,10.62,0.23,1.17
20120214,182.79,191.63,0.54,379.19,80.87,84.42,9.66,0.22,1.1
20120215,174.77,180.49,0.51,393.41,76.55,78.66,8.86,0.2,0.99
20120216,89.3,192.28,0.26,405.55,43.65,84.97,6.05,0.15,0.76
20120217,201.32,210.28,0.58,377.05,90.56,94.49,11.44,0.27,1.39
20120218,210.6,215.66,0.6,349.59,91.61,93.85,11.38,0.27,1.38
20120219,201.72,215.32,0.58,356.69,89.86,95.57,11.34,0.28,1.45
20120220,229.72,239.78,0.66,339.2,101.53,105.73,13.38,0.33,1.66
20120221,229.19,236.98,0.65,348.39,102.88,106.19,13.58,0.33,1.66
20120222,233.48,240.07,0.66,350.05,104.22,107.1,13.85,0.34,1.73
20120223,239.96,247.8,0.67,348.68,106.35,109.8,14.21,0.37,1.91
20120224,251.69,257.47,0.7,349.12,111.97,114.49,15.33,0.41,2.11
20120225,245.94,250.87,0.68,358.92,110.3,112.64,14.93,0.39,2.02
20120226,240.45,244.9,0.66,356.3,106.53,108.62,14.15,0.36,1.84
20120227,257.09,264.8,0.7,343.04,112.93,116.01,15.51,0.38,1.95
20120228,240.4,249.77,0.66,353.7,106.61,110.43,14.25,0.36,1.84
20120229,210.09,217.3,0.57,383.1,91.61,94.57,11.28,0.27,1.34
20120301,224.52,229.59,0.61,366.13,97.3,99.63,12.01,0.28,1.41
20120302,207.68,213.35,0.55,388.45,90.74,93.19,10.91,0.25,1.28
20120303,223.29,231.4,0.59,369.44,98.35,101.77,12.31,0.3,1.52
20120304,245.59,257.59,0.66,355.13,108.42,113.24,14.22,0.37,1.91
20120305,230.78,242.95,0.61,380.18,102.53,107.16,13.08,0.37,1.95
20120306,221.48,231.68,0.59,384.47,97.87,101.84,12.14,0.33,1.72
20120307,230.13,242.31,0.6,382.11,101.12,106.07,12.86,0.34,1.73
20120308,216.81,231.01,0.56,377.35,94.17,99.8,11.84,0.31,1.65
20120309,198.98,205.93,0.52,398.73,85.01,87.79,10.18,0.25,1.3
20120310,214.45,219.55,0.55,394.99,92.63,94.67,11.42,0.3,1.59
20120311,226.28,238.29,0.59,378.21,100.16,105.1,12.43,0.34,1.79
20120312,234.87,244.93,0.6,372.59,102.99,107.05,12.83,0.36,1.88
20120313,204.95,246.71,0.52,387.35,91.59,108.31,11.73,0.32,1.67
20120314,223.35,235.04,0.57,386.85,98.2,102.75,11.9,0.31,1.61
20120315,245.41,256.21,0.62,356.52,106.87,111.1,13.35,0.36,1.88
20120316,237.91,250.74,0.6,369.94,103.84,108.95,12.86,0.33,1.67
20120317,221.59,238.91,0.55,396.23,98.31,104.9,11.84,0.29,1.48
20120318,227.79,241.48,0.57,399.93,100.89,106.16,12.14,0.3,1.53
20120319,202.61,227.16,0.51,399.99,87.98,97.1,10.04,0.25,1.27
20120320,206.46,220.09,0.51,391.56,87.9,93.18,9.77,0.24,1.23
20120321,245.09,257.85,0.6,396.41,108.33,113.34,13.4,0.36,-999.0
20120322,245.02,256.8,0.6,407.05,109.09,113.53,13.48,0.36,1.86
20120323,264.46,277.26,0.65,379.33,115.23,120.05,14.59,0.39,2.01
20120324,266.04,278.16,0.65,375.68,116.22,120.81,14.74,0.39,2.04
20120325,252.2,262.29,0.61,395.39,111.49,115.35,13.69,0.37,1.9
20120326,244.84,259.48,0.59,407.48,108.89,114.38,13.38,0.36,1.9
20120327,252.2,270.23,0.61,396.27,110.98,117.8,13.8,0.36,1.82
20120328,242.6,265.34,0.59,393.75,106.71,115.3,13.25,0.34,1.73
20120329,238.84,258.0,0.57,402.16,104.35,111.66,12.62,0.31,1.59
20120330,234.53,248.23,0.56,410.29,103.65,109.01,12.36,0.31,1.58
20120331,184.7,229.45,0.44,424.34,83.45,101.21,9.68,0.25,1.27
20120401,222.91,231.9,0.53,409.99,96.75,100.28,11.14,0.26,1.32
20120402,253.0,259.48,0.6,413.69,112.93,115.43,13.85,0.33,1.65
20120403,234.38,244.83,0.55,421.4,103.52,107.36,12.16,0.29,1.48
20120404,241.34,258.99,0.57,427.41,107.64,114.32,13.09,0.33,1.66
20120405,212.9,247.35,0.5,429.76,96.21,109.52,11.62,0.3,1.52
20120406,230.05,261.19,0.54,415.35,105.92,118.6,13.23,0.34,1.77
20120407,226.79,261.85,0.53,418.86,104.51,118.16,13.06,0.34,1.7
