,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
20120101,20.59,15.95,18.27,20.41,-262.52,26.73,16.11
20120102,20.26,16.08,18.17,20.3,-262.8,26.33,15.97
20120103,19.44,16.15,17.8,19.65,-264.57,24.37,15.79
20120104,18.94,15.47,17.2,18.6,-264.5,23.6,14.96
20120105,20.01,17.02,18.51,19.58,-263.33,25.3,15.48
20120106,20.37,17.98,19.17,20.36,-263.42,25.73,15.98
20120107,20.11,17.51,18.81,19.79,-264.07,24.86,15.78
20120108,20.26,16.98,18.62,20.1,-263.4,25.15,15.4
20120109,20.07,17.79,18.93,19.79,-263.68,24.97,15.5
20120110,18.19,15.67,16.93,18.37,-263.63,23.18,13.66
20120111,16.81,12.69,14.75,16.69,-262.56,23.12,12.53
20120112,13.99,8.44,11.22,13.82,-260.52,21.05,8.41
20120113,12.62,7.69,10.15,12.32,-259.73,19.8,6.38
20120114,13.01,5.82,9.41,11.85,-258.22,20.26,5.33
20120115,14.04,6.76,10.4,12.55,-257.77,21.33,5.95
20120116,16.38,9.64,13.01,14.93,-258.35,23.65,8.86
20120117,17.88,12.66,15.27,16.57,-260.23,25.49,12.57
20120118,18.12,12.44,15.28,17.18,-257.47,26.12,10.44
20120119,19.4,16.35,17.88,18.52,-262.23,25.62,14.69
20120120,20.1,17.34,18.73,19.53,-263.42,25.63,15.9
20120121,16.8,12.03,14.41,16.43,-261.98,23.23,12.06
20120122,14.27,8.1,11.19,13.88,-259.0,21.55,7.4
20120123,14.94,7.58,11.26,13.89,-257.74,22.38,6.97
20120124,15.76,9.65,12.71,15.13,-259.11,22.83,8.8
20120125,17.61,11.16,14.38,16.06,-260.55,23.68,11.07
20120126,18.42,13.19,15.8,17.23,-259.89,24.74,11.48
20120127,17.4,12.69,15.05,16.8,-262.45,23.19,12.5
20120128,17.41,10.71,14.06,16.51,-259.17,24.32,10.34
20120129,17.46,11.96,14.71,16.86,-261.58,23.83,12.26
20120130,17.3,12.58,14.94,17.2,-260.35,24.69,11.88
20120131,16.55,10.21,13.37,16.27,-259.19,24.55,10.58
20120201,16.59,10.74,13.67,16.35,-259.27,24.21,10.33
20120202,15.59,7.53,11.56,14.84,-258.38,23.19,8.43
20120203,15.62,7.31,11.46,14.55,-256.79,23.98,7.62
20120204,17.33,7.94,12.64,15.65,-256.56,25.23,8.64
20120205,19.15,10.33,14.74,17.3,-256.8,26.89,10.55
20120206,19.46,12.83,16.14,18.58,-257.17,28.02,12.05
20120207,20.1,13.9,17.0,19.17,-258.43,27.46,12.75
20120208,20.16,16.05,18.11,19.86,-261.18,27.05,15.08
20120209,19.97,14.9,17.44,19.89,-261.08,26.21,14.15
20120210,15.76,6.5,11.13,15.38,-258.12,23.6,8.57
20120211,16.19,6.44,11.32,15.25,-257.51,24.12,8.48
20120212,16.46,7.62,12.05,15.73,-257.24,24.4,8.49
20120213,18.83,8.51,13.67,17.26,-258.27,26.18,11.3
20120214,21.39,15.61,18.5,20.54,-260.39,28.21,15.45
20120215,23.28,18.95,21.12,22.94,-261.24,29.44,17.54
20120216,23.25,19.41,21.33,23.44,-262.39,29.21,18.45
20120217,22.76,18.66,20.71,22.86,-262.81,28.32,17.98
20120218,21.32,14.89,18.1,20.92,-260.38,28.28,15.5
20120219,20.44,11.6,16.01,19.51,-258.31,27.86,13.02
20120220,19.72,9.87,14.79,18.62,-257.07,27.47,11.38
20120221,20.62,11.79,16.2,19.65,-256.72,29.06,12.63
20120222,21.39,12.8,17.1,20.42,-256.52,29.43,12.8
20120223,22.07,13.43,17.75,21.2,-255.92,31.48,14.26
20120224,22.29,12.55,17.42,21.24,-254.95,32.03,13.82
20120225,23.53,12.03,17.78,21.89,-254.63,32.51,13.99
20120226,23.29,12.44,17.87,22.14,-255.81,32.03,14.69
20120227,21.99,8.58,15.28,20.66,-255.1,30.65,12.59
20120228,21.87,9.49,15.68,20.77,-255.31,30.82,12.98
20120229,23.48,15.82,19.65,22.89,-259.13,31.66,17.64
20120301,22.74,10.42,16.58,21.68,-256.39,30.65,13.89
20120302,23.96,15.9,19.93,23.33,-259.49,30.74,17.08
20120303,24.13,12.81,18.47,23.12,-260.64,30.9,18.4
20120304,23.3,10.01,16.65,22.11,-256.17,31.49,14.5
